Count,Average Sample Interval,Average Typename,Edge Response Bytes Sum,Number of Visits,Sum's Typename,Dimensions Metric,Dimensions' Typename,Typename
38652,5.227481741952935,ZoneHttpRequestsAdaptiveGroupsAvg,195663032,828,ZoneHttpRequestsAdaptiveGroupsSum,EG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
38144,4.86903242277253,ZoneHttpRequestsAdaptiveGroupsAvg,332631552,5072,ZoneHttpRequestsAdaptiveGroupsSum,RU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
37140,5.027070925825663,ZoneHttpRequestsAdaptiveGroupsAvg,172479536,724,ZoneHttpRequestsAdaptiveGroupsSum,TH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
36888,5.21090549512643,ZoneHttpRequestsAdaptiveGroupsAvg,195377512,1052,ZoneHttpRequestsAdaptiveGroupsSum,SA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
36040,5.310151760719021,ZoneHttpRequestsAdaptiveGroupsAvg,184115188,964,ZoneHttpRequestsAdaptiveGroupsSum,LT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
32812,5.1413350047007205,ZoneHttpRequestsAdaptiveGroupsAvg,149059984,672,ZoneHttpRequestsAdaptiveGroupsSum,CL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
30952,5.0043654001616815,ZoneHttpRequestsAdaptiveGroupsAvg,146354884,832,ZoneHttpRequestsAdaptiveGroupsSum,CO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
30756,5.278187746696413,ZoneHttpRequestsAdaptiveGroupsAvg,186532136,896,ZoneHttpRequestsAdaptiveGroupsSum,CZ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
28312,5.305847076461769,ZoneHttpRequestsAdaptiveGroupsAvg,140797408,548,ZoneHttpRequestsAdaptiveGroupsSum,RS,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
24984,5.19742042854171,ZoneHttpRequestsAdaptiveGroupsAvg,163440728,528,ZoneHttpRequestsAdaptiveGroupsSum,BG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
24272,5.192982456140351,ZoneHttpRequestsAdaptiveGroupsAvg,153452596,664,ZoneHttpRequestsAdaptiveGroupsSum,AR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
23992,4.751832045949693,ZoneHttpRequestsAdaptiveGroupsAvg,176188968,348,ZoneHttpRequestsAdaptiveGroupsSum,IR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
23388,4.699216395418927,ZoneHttpRequestsAdaptiveGroupsAvg,755677708,9824,ZoneHttpRequestsAdaptiveGroupsSum,UA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
23164,5.234802259887005,ZoneHttpRequestsAdaptiveGroupsAvg,124432992,588,ZoneHttpRequestsAdaptiveGroupsSum,TW,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
22708,4.6201424211597155,ZoneHttpRequestsAdaptiveGroupsAvg,175655776,2608,ZoneHttpRequestsAdaptiveGroupsSum,CN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
22516,5.184434722542021,ZoneHttpRequestsAdaptiveGroupsAvg,156799732,464,ZoneHttpRequestsAdaptiveGroupsSum,HU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
21368,5.228284805480793,ZoneHttpRequestsAdaptiveGroupsAvg,129402948,564,ZoneHttpRequestsAdaptiveGroupsSum,HR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
21152,5.011134802179578,ZoneHttpRequestsAdaptiveGroupsAvg,133103660,660,ZoneHttpRequestsAdaptiveGroupsSum,VN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
19440,5.330408554976693,ZoneHttpRequestsAdaptiveGroupsAvg,107055532,396,ZoneHttpRequestsAdaptiveGroupsSum,SK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
19044,4.97752221641401,ZoneHttpRequestsAdaptiveGroupsAvg,130769064,588,ZoneHttpRequestsAdaptiveGroupsSum,PK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
15260,5.079893475366179,ZoneHttpRequestsAdaptiveGroupsAvg,77049508,196,ZoneHttpRequestsAdaptiveGroupsSum,PR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
14308,5.020350877192983,ZoneHttpRequestsAdaptiveGroupsAvg,47375136,276,ZoneHttpRequestsAdaptiveGroupsSum,BH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
14060,5.122040072859745,ZoneHttpRequestsAdaptiveGroupsAvg,64984096,208,ZoneHttpRequestsAdaptiveGroupsSum,PE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
12524,5.200996677740863,ZoneHttpRequestsAdaptiveGroupsAvg,84286140,324,ZoneHttpRequestsAdaptiveGroupsSum,SI,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
12092,4.802223987291502,ZoneHttpRequestsAdaptiveGroupsAvg,54660732,204,ZoneHttpRequestsAdaptiveGroupsSum,NG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
11800,5.139372822299651,ZoneHttpRequestsAdaptiveGroupsAvg,60376288,204,ZoneHttpRequestsAdaptiveGroupsSum,JO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
11624,5.2502258355916895,ZoneHttpRequestsAdaptiveGroupsAvg,50093228,96,ZoneHttpRequestsAdaptiveGroupsSum,JM,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
11016,5.179125528913963,ZoneHttpRequestsAdaptiveGroupsAvg,50468376,160,ZoneHttpRequestsAdaptiveGroupsSum,QA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
10440,4.9361702127659575,ZoneHttpRequestsAdaptiveGroupsAvg,44560688,136,ZoneHttpRequestsAdaptiveGroupsSum,LB,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
9744,4.532093023255814,ZoneHttpRequestsAdaptiveGroupsAvg,357192196,1168,ZoneHttpRequestsAdaptiveGroupsSum,XX,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
9464,4.890956072351421,ZoneHttpRequestsAdaptiveGroupsAvg,47246076,80,ZoneHttpRequestsAdaptiveGroupsSum,DO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
9252,5.165829145728643,ZoneHttpRequestsAdaptiveGroupsAvg,68176904,300,ZoneHttpRequestsAdaptiveGroupsSum,MA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
9184,5.1857707509881426,ZoneHttpRequestsAdaptiveGroupsAvg,56201828,168,ZoneHttpRequestsAdaptiveGroupsSum,EE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
8452,5.223733003708282,ZoneHttpRequestsAdaptiveGroupsAvg,37966628,84,ZoneHttpRequestsAdaptiveGroupsSum,TT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
8412,5.0735826296743065,ZoneHttpRequestsAdaptiveGroupsAvg,44826912,256,ZoneHttpRequestsAdaptiveGroupsSum,BD,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
7636,5.023684210526316,ZoneHttpRequestsAdaptiveGroupsAvg,35321396,104,ZoneHttpRequestsAdaptiveGroupsSum,VE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
6672,5.616161616161616,ZoneHttpRequestsAdaptiveGroupsAvg,34245300,152,ZoneHttpRequestsAdaptiveGroupsSum,IS,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
6512,5.230522088353414,ZoneHttpRequestsAdaptiveGroupsAvg,40670512,172,ZoneHttpRequestsAdaptiveGroupsSum,KW,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
6340,5.610619469026549,ZoneHttpRequestsAdaptiveGroupsAvg,48016864,152,ZoneHttpRequestsAdaptiveGroupsSum,LV,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
6312,5.0135027799841145,ZoneHttpRequestsAdaptiveGroupsAvg,21585340,52,ZoneHttpRequestsAdaptiveGroupsSum,KY,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
